age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
57.68062489170864,Private,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,-1034.3565925028256,393.9173164146402,70.00180892951666,France
71.98658151899693,Private,9th,5,Married-civ-spouse,Farming-fishing,Husband,White,Male,813.6668815421359,-395.9839701824031,82.57410769157283,United-States
78.54574858183648,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,5968.126262342647,1754.4420918487522,113.77405254891868,United-States
73.04732805094115,State-gov,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,5488.177650289401,253.85974103510353,72.32100200011918,United-States
35.998656220150345,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,6137.730364345013,-164.2881298964822,58.36967416763871,United-States
63.53652373735268,Private,Some-college,10,Widowed,Exec-managerial,Not-in-family,White,Female,7790.874973267867,159.66936618495768,51.586711913092714,United-States
65.35322039489586,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,7461.918189242881,-505.9045792688181,63.32347027993585,United-States
56.509822720014455,Private,Assoc-acdm,12,Divorced,Other-service,Own-child,White,Female,6629.149891227706,227.75459206932985,55.891782970810745,United-States
51.4499767042718,Private,Assoc-acdm,12,Never-married,Other-service,Not-in-family,White,Female,-6867.570770519788,666.6199723042473,72.90380820286357,United-States
60.44640505740449,Private,Some-college,10,Divorced,Sales,Not-in-family,White,Female,6969.134897947735,-454.12913846345793,112.71616404506238,United-States
69.24247490673133,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,14617.923120282352,-479.3490406063954,61.65689694995254,United-States
64.90550749166778,Private,11th,7,Married-civ-spouse,Transport-moving,Husband,White,Male,568.0966928730559,559.8816793730429,150.24032036718535,United-States
49.53990690693375,Private,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,11941.62851879785,-486.7361657886322,43.36664248970279,United-States
97.5036818902426,Private,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,-6069.7400173270125,413.9642799460013,55.81065897508557,United-States
66.82270179576331,Self-emp-not-inc,1st-4th,2,Married-civ-spouse,Exec-managerial,Husband,White,Male,4930.726183735093,85.94992735518052,99.97759937272349,Mexico
64.36418466826784,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,-4011.787816224031,-111.70202960916964,46.0335802973561,United-States
78.52320252419426,Self-emp-inc,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,11045.383124333293,675.424139326886,112.69227127566376,United-States
74.05374318233814,Private,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,12992.426205881611,450.5341947415717,72.4318831440441,United-States
89.2300050902622,Private,Assoc-acdm,12,Separated,Prof-specialty,Not-in-family,White,Female,27.262937230695115,179.672193300621,89.95323766304955,United-States
74.01410973923555,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,9494.04250613157,-836.3783926434279,62.21662943448406,United-States
68.23856921840795,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,13068.0711027487,360.3512771518904,78.34809458536361,Germany
57.71114565002757,Federal-gov,Masters,14,Divorced,Prof-specialty,Unmarried,White,Female,2027.2038590251445,-384.4879592894099,78.18673757734037,United-States
102.75767399004388,Private,10th,6,Never-married,Other-service,Own-child,White,Female,6149.529160403801,-29.64544534366022,83.53578823785509,United-States
65.63769976581403,Self-emp-not-inc,Masters,14,Never-married,Prof-specialty,Own-child,White,Male,6233.9115179949285,65.89342549535203,52.09229210158254,United-States
40.03496649282993,Private,10th,6,Never-married,Other-service,Other-relative,White,Male,-5512.600244610642,855.3573474789745,51.291365909809855,Mexico
49.037557077123914,Local-gov,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Black,Female,1587.054747365356,-42.95399645870793,97.20081592107951,United-States
72.67536054988634,Self-emp-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,16735.968546367418,-531.4880115053373,45.214462823371946,United-States
76.47969156225825,Private,HS-grad,9,Divorced,Craft-repair,Other-relative,White,Male,-2959.8869503367064,676.7269527759315,81.1993421420928,United-States
81.10193062508384,Local-gov,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,7129.800493582829,365.9814929529387,90.06068635610362,United-States
69.33994393653032,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,4670.265138723412,381.5388228036506,68.28888905615486,United-States
103.85159213097421,Private,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,-453.9527902412225,684.5693198436294,82.05540964628861,United-States
39.32330277147727,Private,HS-grad,9,Never-married,Sales,Unmarried,Black,Female,2418.453201028091,782.6457574019137,44.27387034874795,United-States
43.93078511936275,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,Black,Male,13828.190958961137,1592.3361949860966,56.95143892632244,United-States
63.96314908306939,Private,10th,6,Married-civ-spouse,Transport-moving,Husband,White,Male,4892.299565722789,-518.2120530327113,120.30162012354086,United-States
75.77632247235206,Private,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,6056.562809575652,414.7446884841041,59.002340433837034,United-States
78.52646011540665,Private,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,12697.19519357529,-46.807556097845726,58.339684519444035,Mexico
95.17169208143855,Private,Some-college,10,Widowed,Other-service,Not-in-family,White,Female,-1390.3368853881202,-8.92496823143913,51.97902345318433,United-States
